id,category,name,expected,note,latency_seconds,http_status,predicted,risk,score,confidence,action,case_id,passed
1.1,baseline,Misspelled PayPal domain,PHISHING,,0.0647,200,PHISHING,CRITICAL,87.0,72,BLOCK,NETRA-6356D8C3,True
1.2,baseline,Fake bank password reset,PHISHING,,0.138,200,PHISHING,HIGH,70.0,64,QUARANTINE,NETRA-54FFD8E7,True
1.3,baseline,Inheritance scam,PHISHING,,0.1085,200,PHISHING,HIGH,55.0,46,QUARANTINE,NETRA-0D725605,True
1.4,baseline,Executable invoice attachment,PHISHING,,0.1315,200,PHISHING,CRITICAL,75.0,85,BLOCK,NETRA-DFF26F82,True
1.5,baseline,Legitimate bank password reset,SAFE,,0.052,200,SAFE,LOW,45.0,26,REVIEW,NETRA-D36146E4,True
2.1,url_evasion,Long redirect URL,PHISHING,,0.2178,200,PHISHING,CRITICAL,81.0,70,BLOCK,NETRA-CAAAA516,True
2.2,url_evasion,URL shortener,PHISHING,The documented destination is not fetched; this is a static shortener test.,0.2189,200,SAFE,SAFE,15.0,27,ALLOW,NETRA-2309D7AE,False
2.3,url_evasion,Cyrillic homograph,PHISHING,,0.1295,200,SAFE,LOW,26.0,46,REVIEW,NETRA-845D8E66,False
2.4,url_evasion,Misleading subdomain,PHISHING,,0.3778,200,PHISHING,HIGH,70.0,43,QUARANTINE,NETRA-3FC377C8,True
2.5,url_evasion,Recently registered domain,PHISHING,The claimed registration date is narrative test metadata; no live WHOIS date is forced.,0.1223,200,PHISHING,CRITICAL,78.0,64,BLOCK,NETRA-FF16D685,True
2.6,url_evasion,HTTPS phishing domain,PHISHING,,0.2299,200,PHISHING,HIGH,55.0,39,QUARANTINE,NETRA-FB872B08,True
3.1,html_evasion,Embedded credential form,PHISHING,,0.2624,200,PHISHING,HIGH,70.0,70,QUARANTINE,NETRA-439F21A3,True
3.2,html_evasion,JavaScript form redirect,PHISHING,,0.0701,200,PHISHING,HIGH,70.0,46,QUARANTINE,NETRA-C3809EBC,True
3.3,html_evasion,Phishing iframe,PHISHING,,0.177,200,PHISHING,HIGH,70.0,70,QUARANTINE,NETRA-493D314F,True
3.4,html_evasion,Hidden credential form,PHISHING,,0.0373,200,PHISHING,HIGH,70.0,70,QUARANTINE,NETRA-A6E924DD,True
4.1,header_evasion,Failed SPF wire transfer,PHISHING,,0.0297,200,PHISHING,CRITICAL,81.0,70,BLOCK,NETRA-96D9681A,True
4.2,header_evasion,Display name spoofing,PHISHING,,0.0435,200,PHISHING,HIGH,71.0,70,QUARANTINE,NETRA-F23219F6,True
4.3,header_evasion,Reply-To mismatch,PHISHING,,0.1146,200,SAFE,SAFE,22.0,24,ALLOW,NETRA-25C6924A,False
4.4,header_evasion,Legitimate international domain,SAFE,,0.1842,200,SAFE,SAFE,20.0,21,ALLOW,NETRA-6EF7C3BD,True
5.1,false_positive,Real Chase password reset,SAFE,,0.1823,200,SAFE,LOW,48.0,41,REVIEW,NETRA-318DF81C,True
5.2,false_positive,Legitimate GitHub notification,SAFE,,0.0397,200,SAFE,SAFE,12.0,38,ALLOW,NETRA-70538FE8,True
5.3,false_positive,Internal maintenance alert,SAFE,,0.3754,200,SAFE,LOW,36.0,34,REVIEW,NETRA-BA67513A,True
5.4,false_positive,Legitimate eBay marketplace email,SAFE,,0.1134,200,SAFE,SAFE,14.0,40,ALLOW,NETRA-2199EB28,True
5.5,false_positive,Legitimate TechCrunch newsletter,SAFE,,0.1457,200,SAFE,SAFE,12.0,37,ALLOW,NETRA-46103A4E,True
